Timestamp,tempLow,tempHigh,WindspeedHigh,WindspeedLow,WindspeedAvg,WindgustHigh,WindgustLow,WindgustAvg,PrecipRate,PrecipTotal
2019-01-19T11:59:50Z,2,2,0,0,0,0,0,0,0E+00,1.02E+00
2019-01-19T12:59:50Z,2,2,0,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T13:59:50Z,2,3,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T14:59:50Z,2,3,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T15:59:50Z,2,2,0,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T16:59:50Z,2,2,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T17:59:50Z,2,2,0,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T18:59:51Z,2,2,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T19:59:51Z,2,2,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T20:59:51Z,2,2,2,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T21:59:51Z,2,2,1,0,0,2,0,0,0E+00,1.02E+00
2019-01-19T22:59:51Z,2,2,3,0,0,4,0,0,0E+00,1.02E+00
2019-01-19T23:59:39Z,2,2,4,0,0,4,0,1,0E+00,1.02E+00
2019-01-20T00:59:51Z,2,2,1,0,0,2,0,0,0E+00,0E+00
2019-01-20T01:59:51Z,2,2,4,0,1,4,0,1,0E+00,0E+00
2019-01-20T02:59:52Z,1,2,2,0,0,4,0,0,0E+00,0E+00
2019-01-20T03:59:52Z,1,2,4,0,1,4,0,2,0E+00,0E+00
2019-01-20T04:59:52Z,1,2,3,0,0,4,0,1,0E+00,0E+00
2019-01-20T05:59:52Z,1,2,3,0,1,4,0,1,0E+00,0E+00
2019-01-20T06:59:52Z,1,2,6,0,1,7,0,1,0E+00,0E+00
2019-01-20T07:59:52Z,1,2,4,0,1,4,0,1,0E+00,0E+00
2019-01-20T08:59:52Z,1,2,6,0,2,9,0,2,0E+00,0E+00
2019-01-20T09:59:52Z,2,3,8,0,3,11,0,4,0E+00,0E+00
2019-01-20T10:59:52Z,3,3,9,1,3,13,2,4,0E+00,0E+00
2019-01-20T11:59:52Z,3,4,9,0,3,9,0,4,0E+00,0E+00
2019-01-20T12:59:52Z,4,5,17,2,6,20,4,8,0E+00,0E+00
2019-01-20T13:59:52Z,5,7,7,0,3,9,2,4,0E+00,0E+00
2019-01-20T14:59:52Z,6,6,5,0,3,7,0,3,0E+00,0E+00
2019-01-20T15:59:52Z,4,6,8,0,2,9,0,3,0E+00,0E+00
2019-01-20T16:59:52Z,4,6,12,0,3,17,2,5,0E+00,0E+00
2019-01-20T17:59:52Z,0,4,6,0,1,7,0,2,0E+00,0E+00
2019-01-20T18:59:52Z,0,2,4,0,1,5,0,1,0E+00,0E+00
2019-01-20T19:59:52Z,-1,2,6,0,2,9,0,2,0E+00,0E+00
2019-01-20T20:59:53Z,-1,1,4,0,1,5,0,2,0E+00,0E+00
2019-01-20T21:59:53Z,-1,-1,3,0,1,4,0,2,0E+00,0E+00
2019-01-20T22:59:53Z,-2,0,6,0,2,7,0,3,0E+00,0E+00
2019-01-20T23:59:39Z,-2,0,5,0,1,7,0,1,0E+00,0E+00
2019-01-21T00:59:52Z,-3,-1,3,0,0,4,0,0,0E+00,0E+00
2019-01-21T01:59:52Z,-3,-2,2,0,0,2,0,0,0E+00,0E+00
2019-01-21T02:59:52Z,-3,-3,2,0,0,4,0,0,0E+00,0E+00
2019-01-21T03:59:52Z,-4,-3,2,0,0,4,0,0,0E+00,0E+00
2019-01-21T04:59:52Z,-4,-3,1,0,0,2,0,0,0E+00,0E+00
2019-01-21T05:59:52Z,-3,-3,2,0,0,2,0,0,0E+00,0E+00
2019-01-21T06:59:52Z,-3,-2,2,0,0,4,0,0,0E+00,0E+00
2019-01-21T07:59:53Z,-2,-2,3,0,0,4,0,0,0E+00,0E+00
2019-01-21T08:59:53Z,-3,-2,4,0,0,4,0,0,0E+00,0E+00
2019-01-21T09:59:53Z,-3,-2,0,0,0,2,0,0,0E+00,0E+00
2019-01-21T10:59:53Z,-2,-1,2,0,0,2,0,1,0E+00,0E+00
2019-01-21T11:59:53Z,-1,4,14,0,7,20,0,9,0E+00,0E+00
2019-01-21T12:59:53Z,4,4,15,1,7,20,2,10,0E+00,0E+00
2019-01-21T13:59:53Z,4,5,18,1,6,24,2,8,0E+00,0E+00
2019-01-21T14:59:53Z,4,5,19,3,9,31,4,12,0E+00,0E+00
2019-01-21T15:59:53Z,4,4,21,4,10,31,4,14,0E+00,0E+00
2019-01-21T16:59:53Z,4,4,23,4,11,28,5,16,1.78E+00,2.5E-01
2019-01-21T17:59:53Z,4,4,20,4,10,28,5,14,1.78E+00,7.6E-01
2019-01-21T18:59:53Z,3,4,19,4,9,28,4,13,3.56E+00,2.54E+00
2019-01-21T19:59:53Z,3,4,18,4,10,24,5,13,4.83E+00,4.83E+00
2019-01-21T20:59:53Z,3,4,21,2,7,29,2,10,1.78E+00,5.84E+00
2019-01-21T21:59:53Z,2,3,12,0,4,17,2,5,0E+00,5.84E+00
2019-01-21T22:59:53Z,2,2,5,0,2,7,0,3,0E+00,5.84E+00
2019-01-21T23:59:39Z,2,2,8,0,3,13,2,4,0E+00,5.84E+00
2019-01-22T00:59:55Z,2,2,10,1,4,13,2,6,0E+00,0E+00
2019-01-22T01:59:55Z,1,2,10,1,4,13,2,6,0E+00,0E+00
2019-01-22T02:59:55Z,1,2,9,2,4,11,2,5,0E+00,0E+00
2019-01-22T03:59:55Z,1,1,9,0,3,13,2,5,0E+00,0E+00
2019-01-22T04:59:55Z,0,1,9,0,2,9,0,3,0E+00,0E+00
2019-01-22T05:59:55Z,0,1,6,0,2,7,0,3,0E+00,0E+00
2019-01-22T06:59:55Z,1,1,6,0,2,7,0,3,0E+00,0E+00
2019-01-22T07:59:56Z,1,2,11,0,5,13,0,6,0E+00,0E+00
2019-01-22T08:59:56Z,0,1,10,0,3,13,0,4,0E+00,0E+00
2019-01-22T09:59:56Z,0,1,4,0,1,4,0,2,0E+00,0E+00
2019-01-22T10:59:56Z,1,1,3,0,1,4,0,1,0E+00,0E+00
